508346, 283558, 163674, 174608, 274436, 161521, 949232, 836423, 634503, 170288, 829152, 154362, 643490, 139724, 247872, 202980, 755899, 120906, 521772, 392019, 586813, 990500, 810929, 584148, 249375, 764038, 581736, 448380, 455045, 876098, 792768, 802101, 419232, 755921, 293460, 556643, 262321, 973639, 828827, 723570, 215372, 410929, 171967, 253598, 694359, 604750, 350917, 343519, 219472, 765895, 482539, 711759, 958894, 956140, 652400, 342520, 389184, 483949, 840716, 466559, 213650, 291858, 599424, 703335
967055, 552183, 859113, 113796, 765312, 514151, 169102, 792509, 521585, 922547, 302105, 294333, 758773, 101455, 807971, 896182, 565344, 198954, 322631, 237970, 777394, 561001, 266296, 869559, 868116, 791903, 233070, 406934, 911290, 149738, 123516, 744401, 245961, 402252, 635229, 321383, 624274, 980324, 635885, 839613, 940892, 935465, 365748, 311850, 118880, 488452, 460797, 300799, 923310, 729415, 284549, 663153, 557197, 607725, 421838, 160420, 108127, 936110, 775411, 529270, 731138, 491775, 419766, 101318
308467, 826629, 200437, 843103, 387982, 430900, 276636, 406373, 284272, 402952, 143955, 125082, 928797, 881951, 651608, 196781, 177150, 780273, 591944, 773215, 562242, 418893, 825238, 655412, 708261, 691921, 646078, 787443, 832302, 697317, 714291, 736602, 795761, 704213, 623668, 744961, 196310, 310441, 835006, 569960, 792689, 855459, 665499, 176640, 570512, 141461, 701240, 128147, 420051, 802428, 835924, 683250, 502901, 946621, 741428, 942009, 454314, 716538, 932083, 550720, 559329, 444496, 891319, 599041
710312, 973776, 855135, 693696, 627246, 821465, 513304, 986812, 848643, 320527, 474319, 245329, 103388, 833370, 858112, 231688, 143379, 958909, 189805, 790364, 429708, 553680, 667307, 384585, 173394, 956669, 672662, 455858, 801759, 967668, 536069, 490095, 901530, 680107, 665720, 761426, 356443, 155350, 375630, 247412, 627434, 708031, 882739, 278625, 781798, 294114, 517654, 377117, 309409, 791975, 274008, 256465, 647016, 818652, 765632, 148822, 595329, 961614, 355724, 760765, 874477, 687237, 855491, 107928
628333, 455706, 323781, 660073, 276800, 638325, 866211, 902341, 220522, 113927, 264843, 981283, 653777, 669344, 248988, 257671, 368097, 329390, 833048, 924454, 290319, 783668, 203255, 221142, 109915, 531042, 743608, 447220, 597166, 219095, 538803, 243601, 318403, 294319, 356841, 269433, 368962, 799754, 582877, 783169, 778471, 854748, 266428, 140269, 473090, 170922, 473847, 432699, 814423, 453447, 762674, 697071, 658085, 222411, 597172, 859292, 263716, 970093, 502687, 108812, 812807, 689149, 397785, 916524
937058, 510977, 479625, 691255, 395365, 675625, 402206, 841790, 113413, 620593, 887817, 405808, 692316, 609907, 918155, 322572, 567751, 229286, 447208, 616448, 887117, 601655, 966811, 332284, 369056, 128226, 276739, 836984, 272572, 878413, 692155, 533151, 552812, 363041, 992520, 949783, 628844, 214214, 608875, 204718, 384617, 760762, 952438, 523235, 589476, 480078, 901371, 819117, 660949, 110429, 781632, 171724, 767980, 264938, 896015, 146218, 919859, 812693, 582410, 445134, 106928, 754937, 473052, 633981
928903, 570341, 164618, 451021, 921147, 953429, 656552, 211239, 929109, 367756, 780967, 175672, 406493, 466512, 231213, 750260, 386117, 303619, 971165, 843848, 905830, 706009, 811957, 573915, 870625, 134811, 266679, 719744, 748680, 738198, 893375, 529210, 678805, 565504, 116115, 270220, 307895, 549385, 638648, 564636, 140814, 314042, 582049, 124675, 555788, 490222, 685187, 827477, 211707, 929097, 864644, 641959, 184829, 302776, 446705, 321377, 269423, 330855, 800878, 811458, 309511, 548441, 867049, 557290
247708, 710663, 856360, 883625, 102500, 707480, 305088, 720097, 976504, 267065, 336007, 892538, 553172, 994202, 164801, 694626, 712859, 689253, 265399, 393310, 561624, 669947, 862887, 898066, 374143, 933997, 818484, 355081, 688337, 674004, 398909, 213890, 407038, 458829, 519372, 110199, 557349, 135765, 668805, 251115, 999575, 528092, 858654, 948207, 271706, 412713, 287533, 130673, 885705, 514474, 577820, 228545, 580633, 806774, 894714, 954817, 918998, 553570, 360524, 178569, 920588, 138076, 261633, 340244
476833, 748935, 771363, 432203, 468671, 964339, 812968, 768908, 243088, 429176, 958088, 614743, 336322, 502095, 498634, 848116, 491242, 253837, 460343, 433092, 634756, 765373, 187696, 180290, 368056, 119833, 262874, 455414, 708345, 650725, 343287, 894486, 442920, 963784, 666673, 891161, 228533, 437991, 553360, 854938, 998053, 486656, 208075, 478501, 841295, 152928, 324475, 534625, 485056, 908417, 552490, 363098, 213310, 628612, 986411, 261289, 917130, 205255, 514691, 129667, 254942, 278595, 307332, 835195
583702, 603428, 657467, 329973, 787820, 323910, 583231, 960904, 555579, 567496, 326986, 641870, 673893, 831024, 243845, 153899, 192976, 872955, 555515, 409240, 113611, 741279, 822863, 268907, 848110, 794943, 497098, 522725, 233247, 930697, 827020, 787927, 930129, 921456, 137380, 426770, 917287, 461826, 624251, 107370, 635895, 139205, 493450, 673957, 309929, 583410, 466188, 120550, 672574, 293102, 970733, 643313, 721550, 870945, 698178, 410426, 568138, 931701, 140179, 523439, 192992, 714701, 812115, 771134
