843292, 426993, 306703, 402316, 756613, 470429, 272279, 763291, 682302, 517805, 744164, 979931, 974170, 151503, 298428, 879972
787164, 591338, 184071, 126053, 296926, 543843, 136998, 952184, 297181, 276540, 141676, 813937, 118340, 584182, 264509, 582096
990771, 900280, 927810, 389142, 945899, 132488, 217542, 113332, 362201, 517237, 307409, 735710, 794589, 422103, 362014, 361983
310455, 377998, 964826, 611558, 912141, 352552, 701308, 510142, 573498, 734015, 125403, 786620, 452982, 951710, 805489, 450289
795454, 315075, 854506, 930335, 455200, 194688, 849320, 236265, 541446, 490844, 119447, 658818, 196284, 920663, 650664, 733224
245119, 883050, 365740, 241321, 190756, 810956, 205647, 336547, 262403, 680690, 713230, 641418, 221470, 415822, 759190, 795394
254801, 987448, 367547, 951437, 873880, 839242, 424049, 142334, 611863, 723044, 406443, 674732, 969034, 970992, 903694, 239714
618986, 567425, 264656, 174099, 837401, 718389, 788498, 753259, 395434, 939705, 697464, 127872, 408624, 898795, 316097, 950087
516065, 330554, 930023, 273284, 607526, 593065, 146133, 857913, 799554, 852883, 208928, 840639, 104444, 508169, 211555, 495795
681355, 327447, 474747, 718151, 470270, 552484, 318267, 367385, 236549, 760280, 857837, 827073, 650911, 441816, 763590, 363108
787425, 643724, 216485, 535142, 616191, 360162, 119048, 388316, 618714, 534668, 448202, 481279, 923558, 322436, 482589, 171229
429207, 423151, 861376, 883305, 478823, 344319, 289181, 878963, 897831, 595379, 387938, 979442, 132224, 616601, 371673, 301789
591140, 488436, 631302, 703609, 970710, 544152, 312381, 151085, 244755, 506482, 102654, 560465, 565243, 359525, 719342, 906245
117408, 435471, 151827, 547550, 937770, 512714, 136747, 199195, 665540, 609102, 235178, 968149, 427687, 764340, 773646, 631413
973504, 323797, 801504, 521664, 199745, 576976, 453930, 900173, 786913, 384491, 394319, 413752, 613648, 264497, 751948, 212687
725564, 748186, 961481, 505768, 415385, 677512, 785659, 857557, 329264, 211597, 940153, 767312, 270023, 767306, 523801, 689969
